id,order_id,order_date,region,state,city,category,product,brand,customer_name,quantity,sales_amount,cost_amount,profit,payment_mode
1,ORD0005601,2026-01-05,North,Telangana,Hyderabad,Electronics,AC,Sony,Customer_40600,4,58820,19410,57641,UPI
2,ORD0005602,2026-05-19,East,Maharashtra,"New Delhi",Electronics,Tablet,Samsung,Customer_46624,3,67979,48624,-14744,Card
3,ORD0005603,2026-02-20,North,Karnataka,Bangalore,"Home Appliances",Printer,Samsung,Customer_6158,4,46169,40055,-3287,Cash
4,ORD0005604,2026-04-12,West,Telangana,Mumbai,Accessories,Mobile,Samsung,Customer_523,1,81661,37351,10979,Card
5,ORD0005605,2026-05-06,East,Maharashtra,Warangal,"Home Appliances",Printer,Samsung,Customer_39929,1,50184,40362,45128,Cash
6,ORD0005606,2026-03-06,South,Telangana,Hyderabad,Electronics,"Smart TV",Sony,Customer_31543,5,39499,59212,47937,UPI
7,ORD0005607,2026-06-15,East,Karnataka,"New Delhi",Accessories,Laptop,Sony,Customer_35306,3,70449,45221,17805,Cash
8,ORD0005608,2026-02-21,West,Delhi,Warangal,Accessories,Mobile,Samsung,Customer_47895,2,87297,25625,17280,Cash
9,ORD0005609,2026-05-03,West,Karnataka,Warangal,"Office Devices",Tablet,HP,Customer_41580,3,23554,56916,-8393,Card
10,ORD0005610,2026-01-13,South,Delhi,Pune,Accessories,Laptop,Samsung,Customer_13358,2,25297,27627,35083,Card
11,ORD0005611,2026-02-06,South,Telangana,Mumbai,Accessories,Mobile,Samsung,Customer_6026,3,41821,61993,4454,Card
12,ORD0005612,2026-04-19,East,Telangana,Pune,Accessories,Printer,Sony,Customer_9143,2,73181,50746,75624,UPI
13,ORD0005613,2026-02-09,East,Delhi,"New Delhi",Accessories,Laptop,HP,Customer_19333,2,65906,64730,1187,UPI
14,ORD0005614,2026-03-24,West,Telangana,Bangalore,"Home Appliances",Laptop,Apple,Customer_32631,4,87553,71441,16875,Card
15,ORD0005615,2026-01-16,West,Karnataka,Bangalore,Electronics,Printer,HP,Customer_7380,4,65071,15792,-15315,Cash
16,ORD0005616,2026-05-31,East,Karnataka,"New Delhi","Office Devices","Power Bank",Sony,Customer_10002,3,29519,72809,17121,UPI
17,ORD0005617,2026-01-29,West,Karnataka,Hyderabad,Accessories,"Power Bank",HP,Customer_31038,3,39906,73648,-30040,Card
18,ORD0005618,2026-06-05,South,Maharashtra,Pune,Electronics,Printer,Sony,Customer_31422,4,72522,24452,33377,Card
19,ORD0005619,2026-02-27,West,Maharashtra,Pune,Accessories,Tablet,Samsung,Customer_42164,1,20772,58473,4780,Cash
20,ORD0005620,2026-04-17,North,Telangana,Bangalore,Accessories,Printer,Apple,Customer_45237,2,75066,51006,27200,Card
21,ORD0005621,2026-02-18,West,Telangana,Bangalore,"Office Devices","Smart TV",HP,Customer_43123,2,42534,32216,46921,UPI
22,ORD0005622,2026-01-15,North,Delhi,Pune,"Home Appliances",Laptop,HP,Customer_25191,5,45618,57126,10408,Card
23,ORD0005623,2026-06-11,East,Karnataka,Hyderabad,Accessories,Laptop,Sony,Customer_40653,4,41433,21919,35727,Cash
24,ORD0005624,2026-05-27,South,Delhi,Hyderabad,Electronics,Laptop,Samsung,Customer_2114,3,22734,67455,-16758,UPI
25,ORD0005625,2026-05-30,East,Karnataka,Hyderabad,"Office Devices",Printer,HP,Customer_25147,4,27979,35013,-16038,Cash
